Health Center Site Fact Identification Number,Site Name,UDS Number,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Grantee Identification Number,Grant Number,Grantee Name,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Site Address Identification Number,Site Address Source System Identification Number,Enterprise Site Repository Source ID,Site Data Source,Site Address,Site City,Site State Abbreviation,Site Postal Code,U.S. - Mexico Border 100 Kilometer Indicator,Health Center Site Population Type Description,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,County or County Equivalent Federal Information Processing Standard Code,County Equivalent Name,County Description,Complete County Name,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,HHS Region Code,HHS Region Name,U.S. - Mexico Border County Indicator,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,Uniform Resource Locator (URL) for a Member of the U.S. House of Representatives,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date,BPHC Assigned Number,Site Open Date,Site Open Date Text,Site Added to Scope this Date,Site Add to Scope Date Text,BHCMIS Site Identification Number,Federally Qualified Health Center (FQHC) Look-Alike Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Name,Federally Qualified Health Center (FQHC) Look-Alike Street Address,Federally Qualified Health Center (FQHC) Look-Alike Organization City,Federally Qualified Health Center (FQHC) Look-Alike Organization State,Federally Qualified Health Center (FQHC) Look-Alike Organization ZIP Code,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Name,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Telephone Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Email Address,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
3276,"JWCH Institute, Inc. (Mini Twelve Step House)",,323-201-4516,,168,1377,H80CS06673,"JWCH Institute, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,6283,800F7E6D-DD90-4C11-BB80-667AC328DE41,731809A9-453B-4881-AD4C-E959E0C4747B,ESR_SCP,303 E 52nd St,Los Angeles,CA,90011-4513,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,40,California District 40,640,Lucille Roybal-Allard,https://roybal-allard.house.gov/,3/19/18,3/19/18,BPS-H80-020940,,/,7/26/17,7/26/17,925360,,,,,  ,,,,,-118.2699326,33.99526453
3293,Forestville Wellness Center,,707-887-0290,Www.wchealth.org,20,1446,H80CS00242,"WEST COUNTY HEALTH CENTERS, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,1076,15E55F8B-E973-4436-B691-503513442F6E,29787D56-93CC-455E-ADC5-A4160E3F4C04,ESR_SCP,6550 Front St,Forestville,CA,95436-9116,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,97,Sonoma,County            ,Sonoma County,6097,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-011916,4/15/11,4/15/11,7/18/12,7/18/12,90350,,,,,  ,,,,,-122.8913235,38.47360148
3295,Antelope Valley Community Clinic -Palmdale East,,661-942-2391,,45,340,H80CS00139,Northeast Valley Health Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,56,011C28B7-A350-4DDD-BB36-BC57F4498B02,FA5B7A3D-2CA4-47A8-A4CD-2D76B90CC04E,ESR_SCP,37926 47th St E,Palmdale,CA,93552-3272,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,2,Subrecipient,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,25,California District 25,625,Stephen Knight,https://knight.house.gov/,3/19/18,3/19/18,BPS-H80-021440,,/,11/24/17,11/24/17,91000,,,,,  ,,,,,-118.0449866,34.57118005
3306,T.H.E. Health and Wellness Center at Crenshaw High School,,323-730-1920 x3053,www.ToHelpEveryone.org,27,616,H80CS00755,"Clinic Inc, The","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,3253,4211377C-E22B-49D7-90FD-70DFF8639512,1077A216-B043-4A18-9672-3068B74981BB,ESR_SCP,3206 W 50th St,Los Angeles,CA,90043-4872,N,Unknown,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,37,California District 37,637,Karen Bass,http://karenbass.house.gov/,3/19/18,3/19/18,BPS-H80-014521,,/,1/6/15,1/6/15,92440,,,,,  ,,,,,-118.3282962,33.99807004
3308,Humboldt Open Door Clinic,,707-826-8610 x1175,www.opendoorhealth.com,50,689,H80CS00225,OPEN DOOR COMMUNITY HEALTH CENTERS,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,6016,7AF9AD7F-F626-4D1F-A700-9B602538577D,6814CCF7-543C-43A3-B4E2-355BDB0AF333,ESR_SCP,770 10th St,Arcata,CA,95521-6210,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,23,Humboldt,County            ,Humboldt County,6023,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-002724,1/18/71,1/18/71,1/18/71,1/18/71,91540,,,,,  ,,,,,-124.0861242,40.86979114
3312,COMMUNITY HEALTH EDUCATION,09123AA,510-535-4110,www.laclinica.org,42.5,1302,H80CS00631,"LA CLINICA DE LA RAZA, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4728,6093C5D8-8DC5-44ED-B007-C18D9E828671,7E0E8E92-69BB-4D2C-960B-0D2AE4320525,ESR_SCP,1531 Fruitvale Ave,Oakland,CA,94601-2322,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,13,California District 13,613,Barbara Lee,http://lee.house.gov/,3/19/18,3/19/18,BPS-H80-002590,1/2/79,1/2/79,1/2/79,1/2/79,91230,,,,,  ,,,,,-122.2250012,37.77933889
3315,ST. PHILLIPS,091209B,408-445-3400,,40,318,H80CS02325,Indian Health Center of Santa Clara Valley,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,584,0C0796FE-681F-4665-9EC3-D650989C882C,D0FC922C-F5E2-4759-BFAB-48A2C183473C,ESR_SCP,5038 Hyland Ave,San Jose,CA,95127-2212,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,85,Santa Clara,County            ,Santa Clara County,6085,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,19,California District 19,619,Zoe Lofgren,https://lofgren.house.gov/,3/19/18,3/19/18,BPS-H80-002684,1/1/00,1/1/00,1/6/00,1/6/00,912090,,,,,  ,,,,,-121.8239405,37.37581367
3317,Health and Developmental Services Center - East Region,,619-515-2463,www.fhcsd.org,40,1030,H80CS00224,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,5328,6C4F684F-3793-48AE-8CB4-3294E9DFC8F2,A787DB96-9029-47E5-BFA2-DD31D93E850A,ESR_SCP,1234 Broadway,El Cajon,CA,92021-4901,Y,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,50,California District 50,650,Duncan Hunter,http://hunter.house.gov/,3/19/18,3/19/18,BPS-H80-007707,1/1/06,1/1/06,10/3/08,10/3/08,93120,,,,,  ,,,,,-116.9384605,32.80773246
3319,Sonoma Valley Community Health Center,,707-939-6070,,54,425,H80CS06649,Sonoma Valley Community Health Center,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4731,609C8F3B-4F49-461D-9543-84A8D563AF99,89DD399C-3EB9-497C-9B11-2E286D61C463,ESR_SCP,19270 Sonoma Hwy,Sonoma,CA,95476,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,97,Sonoma,County            ,Sonoma County,6097,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,5,California District 05,605,Mike Thompson,http://mikethompson.house.gov/,3/19/18,3/19/18,BPS-H80-012994,3/18/14,3/18/14,10/10/13,10/10/13,925380,,,,,  ,,,,,-122.475186,38.29869043
3321,CSC - COMMUNITY HEALTH CENTER Suite 213,,213-808-1728,,30,1345,H80CS08735,Chinatown Service Center,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,791,0FA31BCF-AC96-4C1B-AA27-477A56CA8AFA,D4D69094-CC37-4DA9-82EF-FB23A0A87688,ESR_SCP,767 N Hill St Ste 213,Los Angeles,CA,90012-2365,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,34,California District 34,634,Jimmy Gomez,https://gomez.house.gov,3/19/18,3/19/18,BPS-H80-020973,,/,8/3/17,8/3/17,928870,,,,,  ,,,,,-118.2397121,34.06256296
3332,Yehowa Medical Services,09E01231,323-776-1500,,40,,,,, , , , , ,11844,F32FD93B-195D-469B-BBA7-89AC909C365B,2B040F71-E999-482D-96E5-5FD6E245C602,FQHC_LKL,5720 Imperial Hwy Ste N-O,South Gate,CA,90280-7518,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,44,California District 44,644,Nanette Diaz Barragíçn,https://barragan.house.gov/,3/19/18,3/19/18,BPS-LAL-018013,6/15/12,6/15/12,6/1/16,6/1/16,,LAL00179,YEHOWA MEDICAL SERVICES,1039 W FLORENCE AVE,LOS ANGELES,CA,90044-2441,Thomas N Tweh,323-776-1500,thomas@ymedical.org,-118.1691033,33.92993754
3351,La Maestra Hope Clinic,,619-584-1612,www./lamaestra.org,40,871,H80CS00812,"La Maestra Family Clinic, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,9810,CA98C058-D577-4393-B4F6-8700E489AB74,1F8933EF-614E-4064-ACBD-E1BBA5F851F9,ESR_SCP,4171 Fairmount Ave,San Diego,CA,92105-1609,Y,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,51,California District 51,651,Juan Vargas,http://vargas.house.gov,3/19/18,3/19/18,BPS-H80-013175,9/16/13,9/16/13,11/1/13,11/1/13,95440,,,,,  ,,,,,-117.1008299,32.75267291
3354,Corporate Services,,707-826-9926,www.opendoorhealth.com,50,689,H80CS00225,OPEN DOOR COMMUNITY HEALTH CENTERS,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4272,56D1C551-489D-4C90-936E-51877BA55E02,0F758AFE-AC37-4B66-B509-65B81E602344,ESR_SCP,3696 Jacobs Ave,Eureka,CA,95501-0911,N,Rural,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,23,Humboldt,County            ,Humboldt County,6023,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-010548,1/1/11,1/1/11,5/18/11,5/18/11,91540,,,,,  ,,,,,-124.1260702,40.80450762
3370,WellSpace Health - Health Care for Women Community Health Center,,916-689-3433,,40,6,H80CS12872,WellSpace Health,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,4835,62B04FA6-4CA4-49E6-A77A-E2F40884C921,BD575919-E405-47A9-B7A3-CAA69197DBBE,ESR_SCP,7601 Hospital Dr Ste 220,Sacramento,CA,95823-5408,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,67,Sacramento,County            ,Sacramento County,6067,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,6,California District 06,606,Doris O. Matsui,http://matsui.house.gov,3/19/18,3/19/18,BPS-H80-014474,,/,12/11/14,12/11/14,9.00E+03,,,,,  ,,,,,-121.4159782,38.46429999
3378,Mission City Community Network- La Puente,,818-895-3100,,40,677,H80CS08241,"Mission City Community Network, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,7116,912E8FC4-6459-42A3-8A40-E857C4B0FA79,22319498-4B41-4B91-907F-EE8D48239653,ESR_SCP,1025 Willow Ave,La Puente,CA,91746-1617,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,32,California District 32,632,Grace F. Napolitano,http://napolitano.house.gov/,3/19/18,3/19/18,BPS-H80-015060,,/,5/1/15,5/1/15,929830,,,,,  ,,,,,-117.9706824,34.0541284
3382,Fortuna Community Health Center (3306),,707-725-4477,www.opendoorhealth.com,50,689,H80CS00225,OPEN DOOR COMMUNITY HEALTH CENTERS,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,1740,22BDC97A-C6F1-44EA-955A-0D1A207A6EC4,A26D2727-579F-4F8F-B1F5-C2ED72E7C712,ESR_SCP,3306 Renner Dr,Fortuna,CA,95540-3120,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,23,Humboldt,County            ,Humboldt County,6023,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-014661,,/,8/11/15,8/11/15,91540,,,,,  ,,,,,-124.1360278,40.58239022
3394,Visalia Health Care Center,,559-623-0700,www.tchhsa.org,65.5,,,,, , , , , ,9341,C0AB31C9-D634-43A4-8FB9-FE1C3F189BC4,94C26E23-5F52-416B-BF5B-F66622586BAE,FQHC_LKL,2611 N Dinuba Blvd,Visalia,CA,93291-9003,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,107,Tulare,County            ,Tulare County,6107,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,22,California District 22,622,Devin Nunes,http://nunes.house.gov/,3/19/18,3/19/18,BPS-LAL-009865,1/1/97,1/1/97,8/19/10,8/19/10,,LAL00070,"TULARE, COUNTY OF",5957 S MOONEY,VISALIA,CA,93277-9394,Karen M Elliott,559-624-8480,kelliott@tularehhsa.org,-119.2970079,36.35044496
3395,Haight Ashbury Medical Clinic,,,,,,,,, , , , , ,11705,F03FA847-33B6-4015-AEC8-DDAE14958B04,5AEE64F8-4B10-40C4-A024-EC0EEC039E8B,FQHC_LKL,558 Clayton St,San Francisco,CA,94117-2907,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,75,San Francisco,County            ,San Francisco County,6075,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,12,California District 12,612,Nancy Pelosi,http://pelosi.house.gov/,3/19/18,3/19/18,BPS-LAL-019735,12/10/67,12/10/67,6/1/17,6/1/17,,LAL30797,Healthright 360,1563 MISSION ST,San Francisco,CA,94103-2543,Maribel  Baez,310-686-5614,mbaez@healthright360.org,-122.4485683,37.7699248
3396,Venice Family Clinic - Ocean Park Community Center (OPCC) Access Center,,310-392-8636,,13,340,H80CS00139,Northeast Valley Health Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,4141,54307FAC-EB3C-4FF8-8732-1B9FCE5C7B73,A65DCC89-D59F-4F6F-B4C7-B7A12C253074,ESR_SCP,503 Olympic Blvd,Santa Monica,CA,90401-3311,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,2,Subrecipient,2,Part-Time,1,Year-Round,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,33,California District 33,633,Ted Lieu,https://lieu.house.gov/,3/19/18,3/19/18,BPS-H80-009505,1/1/63,1/1/63,6/7/10,6/7/10,91000,,,,,  ,,,,,-118.4896827,34.01337999
3398,Cottage,,510-471-5907,,,231,H80CS00223,TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,7687,9D6745FC-0CA5-42E4-8CA3-F9CD7E6DA628,6D1D15B6-4733-48F3-BDD5-66A7A5165629,ESR_SCP,870 Melvin Ct,Hayward,CA,94541,N,Unknown,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,15,California District 15,615,Eric Swalwell,http://swalwell.house.gov,3/19/18,3/19/18,BPS-H80-021685,,/,1/29/18,1/29/18,93190,,,,,  ,,,,,-122.0869798,37.67382333
3400,Tri-State Community Healthcare Center,,323-255-2900,,,1331,H80CS28370,Tri-State Community Healthcare Center,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,11841,F31C01BC-4007-413D-8A9B-80149F3F0FC8,8271DD57-35A1-4FAD-BA2C-50B25E64D1F1,ESR_SCP,4141 1/2 Verdugo Rd,Los Angeles,CA,90065-3820,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,34,California District 34,634,Jimmy Gomez,https://gomez.house.gov,3/19/18,3/19/18,BPS-H80-018930,,/,12/6/16,12/6/16,09E01144,,,,,  ,,,,,-118.231977,34.12594733
3430,PATH (People Assisting The Homeless),09083R,805-884-8481,,14,943,H80CS00046,"SANTA BARBARA, COUNTY OF",U.S. Government Entity,N,Y,N,N,Y,2617,357E2DC6-DDCA-4E12-9DE8-7FA3141CD4D6,E6BE2852-ADB3-4F60-90A8-C4C15690039C,ESR_SCP,816 Cacique St,Santa Barbara,CA,93103-3622,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,83,Santa Barbara,County            ,Santa Barbara County,6083,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,24,California District 24,624,Salud O. Carbajal,https://carbajal.house.gov/,3/19/18,3/19/18,BPS-H80-006654,,/,1/1/00,1/1/00,90830,,,,,  ,,,,,-119.6769119,34.41916672
3432,CHILDREN'S HOSPITAL MEDICAL CENTER OF NORTHERN CA,91850,510-428-3783,www.childrenshospitaloakland.org,144,1082,H80CS00052,Children's Hospital & Research Center At Oakland,"Corporate Entity, Federal Tax Exempt",N,N,N,N,Y,6429,82EBE883-FE0F-4FCB-8A30-031CB507A6EB,1187819E-D7F2-4B0D-96EC-43A387DDC89F,ESR_SCP,747 52nd St,Oakland,CA,94609-1809,N,Urban,1,Hospital,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,13,California District 13,613,Barbara Lee,http://lee.house.gov/,3/19/18,3/19/18,BPS-H80-004336,1/1/12,1/1/12,11/1/93,11/1/93,91850,,,,,  ,,,,,-122.2671481,37.8373476
3437,"All For Health, Health For All-Sunland",,818-875-8366,www.all4health.org,44,839,H80CS12851,All For Health Health For All,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,11018,E35BDDCB-FE25-43BA-8184-7320C13EE4FD,54C8910F-210D-4B85-91C6-816254721B19,ESR_SCP,8134 Foothill Blvd,Sunland,CA,91040-2941,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,28,California District 28,628,Adam B. Schiff,http://schiff.house.gov/,3/19/18,3/19/18,BPS-H80-015327,,/,7/10/15,7/10/15,9.00E+08,,,,,  ,,,,,-118.3106473,34.25960082
3442,Valley High School Clinic,,714-771-8006,,16,283,H80CS26628,St. Jude Neighborhood Health Centers,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,6376,81C5664D-1C29-4570-9CC3-E9D526E24AA8,A3709952-1782-4D5B-9DAC-FD047ED56657,ESR_SCP,1801 S Greenville St,Santa Ana,CA,92704-4005,N,Unknown,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,46,California District 46,646,J. Luis Correa,https://correa.house.gov/,3/19/18,3/19/18,BPS-H80-015381,,/,8/5/15,8/5/15,09E01056,,,,,  ,,,,,-117.9016825,33.72252854
3454,Yehowa Medical Services Administrative Site,,323-776-1500,,,,,,, , , , , ,11480,EBE798FC-FDF7-441E-847F-FBEB0B1500DD,A3F6B3E6-8A0E-44FA-A06F-103CE4E6C817,FQHC_LKL,454 E Carson Plaza Dr Ste 211,Carson,CA,90746-3234,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,44,California District 44,644,Nanette Diaz Barragíçn,https://barragan.house.gov/,3/19/18,3/19/18,BPS-LAL-019050,,/,12/22/16,12/22/16,,LAL00179,YEHOWA MEDICAL SERVICES,1039 W FLORENCE AVE,LOS ANGELES,CA,90044-2441,Thomas N Tweh,323-776-1500,thomas@ymedical.org,-118.2665142,33.8465989
3463,CFHE Long Beach,,818-899-5555,,40,1313,H80CS28984,"CENTER FOR FAMILY HEALTH & EDUCATION, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,10292,D45DABB8-C42C-475B-B7AC-9C698CDEBDD4,682EEFD3-E186-48FE-A54B-02F07E06E51C,ESR_SCP,500 W Willow St,Long Beach,CA,90806-2831,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,47,California District 47,647,Alan S. Lowenthal,http://lowenthal.house.gov,3/19/18,3/19/18,BPS-H80-019180,,/,1/30/17,1/30/17,09E01195,,,,,  ,,,,,-118.1983905,33.80431247
3467,SOUTH BAKERSFIELD COMM HLTH CTR,09039N,661-834-1240,www.clinicasierravista.org,60,1039,H80CS00540,Clinica Sierra Vista,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,Y,3889,4F431B65-D0E4-4788-823E-5228A2C20E65,E9B6E093-8540-4384-B9D3-6BA75B665AA1,ESR_SCP,2400 Wible Rd Ste 14,Bakersfield,CA,93304-4734,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,29,Kern,County            ,Kern County,6029,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,21,California District 21,621,David G. Valadao,http://valadao.house.gov,3/19/18,3/19/18,BPS-H80-002988,10/1/02,10/1/02,1/10/02,1/10/02,90390,,,,,  ,,,,,-119.0389463,35.332866
3472,Clinicas Del Camino Real Inc - Newbury Park,,805-498-3640,www.clinicas.org,46,489,H80CS00550,"Clinicas del Camino Real, Inc.","Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,11927,F493912F-AFC1-4925-90D7-26CCBD21CB12,5EB4C77F-FE2C-4EA5-BA4D-9C7F9638B124,ESR_SCP,1000 Newbury Rd Ste 150,Newbury Park,CA,91320-6438,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,111,Ventura,County            ,Ventura County,6111,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,26,California District 26,626,Julia Brownley,http://juliabrownley.house.gov,3/19/18,3/19/18,BPS-H80-007979,9/1/06,9/1/06,8/1/08,8/1/08,93650,,,,,  ,,,,,-118.9040738,34.1833178
3473,Western Sierra Medical Clinic,,530-273-4984 x102,,30,11,H80CS08234,"Western Sierra Medical Clinic, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,9034,BA70D672-78FF-4065-85B4-2D7C9E98E6CD,935908FA-707C-4725-A74C-9A811CE3E546,ESR_SCP,3111 Professional Dr,Auburn,CA,95603-2456,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,61,Placer,County            ,Placer County,6061,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,1,California District 01,601,Doug LaMalfa,http://lamalfa.house.gov,3/19/18,3/19/18,BPS-H80-018726,,/,10/9/16,10/9/16,921760,,,,,  ,,,,,-121.1007693,38.940417
3490,Logan Heights Patient Care Support Services,,619-906-4621,,40,1030,H80CS00224,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,5309,6BE315C0-FB33-4AAA-996A-AC6C80E0CC49,C4A1995B-7335-4A42-A2DF-10034AC35630,ESR_SCP,1827 Logan Ave Ste 2,San Diego,CA,92113-2137,Y,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,51,California District 51,651,Juan Vargas,http://vargas.house.gov,3/19/18,3/19/18,BPS-H80-012414,4/27/12,4/27/12,3/7/13,3/7/13,93120,,,,,  ,,,,,-117.1455075,32.70228033
